wiki	topic	open	available	closed	total
maiwiki	Transportation	0	0	0	0.0
maiwiki	all_topics	0.260869565217	0.108695652174	0.630434782609	46.0
fiwiki	Africa	0.0	0.0	1.0	2.0
fiwiki	Americas	0.25	0.142857142857	0.607142857143	28.0
fiwiki	Article improvement and grading	0	0	0	0.0
fiwiki	Arts	0	0	0	0.0
fiwiki	Biology	0.377889447236	0.0964824120603	0.525628140704	995.0
fiwiki	Bodies of water	0.5	0.0	0.5	2.0
fiwiki	Broadcasting	0.833333333333	0.0	0.166666666667	6.0
fiwiki	Business and economics	0.0	0.0909090909091	0.909090909091	11.0
fiwiki	Chemistry	0.182692307692	0.0576923076923	0.759615384615	208.0
fiwiki	Cities	0.5	0.0	0.5	2.0
fiwiki	Contents systems	0.666666666667	0.0	0.333333333333	3.0
fiwiki	Countries	0.266666666667	0.0533333333333	0.68	75.0
fiwiki	Crafts and hobbies	0	0	0	0.0
fiwiki	Economics	0.125	0.375	0.5	16.0
fiwiki	Education	0.0	0.142857142857	0.857142857143	7.0
fiwiki	Entertainment	0.105263157895	0.263157894737	0.631578947368	19.0
fiwiki	Europe	0.267605633803	0.0704225352113	0.661971830986	213.0
fiwiki	Files	0.0	0.0	1.0	1.0
fiwiki	Food and drink	0.333333333333	0.138888888889	0.527777777778	36.0
fiwiki	Geosciences	0.363636363636	0.0909090909091	0.545454545455	11.0
fiwiki	History and society	0.271523178808	0.0860927152318	0.64238410596	151.0
fiwiki	Information science	0.0	0.0	1.0	2.0
fiwiki	Internet culture	0.5	0.0	0.5	4.0
fiwiki	Landforms	0	0	0	0.0
fiwiki	Language and literature	0.173913043478	0.115942028986	0.710144927536	69.0
fiwiki	Maintenance	0.5	0.0	0.5	2.0
fiwiki	Maps	0.0	0.0	1.0	2.0
fiwiki	Mathematics	0.666666666667	0.333333333333	0.0	3.0
fiwiki	Media	0	0	0	0.0
fiwiki	Medicine	0.369318181818	0.110795454545	0.519886363636	352.0
fiwiki	Meteorology	0.0	0.0	1.0	1.0
fiwiki	Military and warfare	0.0	0.0	1.0	2.0
fiwiki	Music	0.0	0.0	1.0	2.0
fiwiki	Performing arts	0.142857142857	0.0	0.857142857143	7.0
fiwiki	Philosophy and religion	0.155555555556	0.0518518518519	0.792592592593	135.0
fiwiki	Physics	0.307692307692	0.123076923077	0.569230769231	130.0
fiwiki	Plastic arts	0.2	0.0	0.8	10.0
fiwiki	Politics and government	0.148148148148	0.111111111111	0.740740740741	54.0
fiwiki	Science	0.136363636364	0.0	0.863636363636	22.0
fiwiki	Space	0.51724137931	0.155172413793	0.327586206897	116.0
fiwiki	Sports	0.5	0.125	0.375	8.0
fiwiki	Technology	0.205128205128	0.128205128205	0.666666666667	39.0
fiwiki	Time	0.333333333333	0.333333333333	0.333333333333	3.0
fiwiki	Transportation	0.307692307692	0.230769230769	0.461538461538	13.0
fiwiki	all_topics	0.313902968863	0.0970311368573	0.58906589428	2762.0
napwiki	Africa	0	0	0	0.0
napwiki	Americas	0	0	0	0.0
napwiki	Article improvement and grading	0	0	0	0.0
napwiki	Arts	0	0	0	0.0
napwiki	Biology	0	0	0	0.0
napwiki	Bodies of water	0	0	0	0.0
napwiki	Broadcasting	0	0	0	0.0
napwiki	Business and economics	0	0	0	0.0
napwiki	Chemistry	0	0	0	0.0
napwiki	Cities	0	0	0	0.0
napwiki	Contents systems	0	0	0	0.0
napwiki	Countries	0	0	0	0.0
napwiki	Crafts and hobbies	0	0	0	0.0
napwiki	Economics	0	0	0	0.0
napwiki	Education	0	0	0	0.0
napwiki	Entertainment	0	0	0	0.0
napwiki	Europe	0	0	0	0.0
napwiki	Files	0	0	0	0.0
napwiki	Food and drink	0	0	0	0.0
napwiki	Geosciences	0	0	0	0.0
napwiki	History and society	0	0	0	0.0
napwiki	Information science	0	0	0	0.0
napwiki	Internet culture	0	0	0	0.0
napwiki	Landforms	0	0	0	0.0
napwiki	Language and literature	0	0	0	0.0
napwiki	Maintenance	0	0	0	0.0
napwiki	Maps	0	0	0	0.0
napwiki	Mathematics	0	0	0	0.0
napwiki	Media	0	0	0	0.0
napwiki	Medicine	0	0	0	0.0
napwiki	Meteorology	0	0	0	0.0
napwiki	Military and warfare	0	0	0	0.0
napwiki	Music	0	0	0	0.0
napwiki	Performing arts	0	0	0	0.0
napwiki	Philosophy and religion	0	0	0	0.0
napwiki	Physics	0	0	0	0.0
napwiki	Plastic arts	0	0	0	0.0
napwiki	Politics and government	0	0	0	0.0
napwiki	Science	0	0	0	0.0
napwiki	Space	0	0	0	0.0
napwiki	Sports	0	0	0	0.0
napwiki	Technology	0	0	0	0.0
napwiki	Time	0	0	0	0.0
napwiki	Transportation	0	0	0	0.0
napwiki	all_topics	0.313902968863	0.0970311368573	0.58906589428	0.0
dsbwiki	Africa	0	0	0	0.0
dsbwiki	Americas	0	0	0	0.0
dsbwiki	Article improvement and grading	0	0	0	0.0
dsbwiki	Arts	0	0	0	0.0
dsbwiki	Biology	0.6	0.0	0.4	5.0
dsbwiki	Bodies of water	0	0	0	0.0
dsbwiki	Broadcasting	0	0	0	0.0
dsbwiki	Business and economics	0	0	0	0.0
dsbwiki	Chemistry	0	0	0	0.0
dsbwiki	Cities	0	0	0	0.0
dsbwiki	Contents systems	0	0	0	0.0
dsbwiki	Countries	0	0	0	0.0
dsbwiki	Crafts and hobbies	0	0	0	0.0
dsbwiki	Economics	0	0	0	0.0
dsbwiki	Education	0	0	0	0.0
dsbwiki	Entertainment	0	0	0	0.0
dsbwiki	Europe	0.5	0.5	0.0	2.0
dsbwiki	Files	0	0	0	0.0
dsbwiki	Food and drink	0	0	0	0.0
dsbwiki	Geosciences	0	0	0	0.0
dsbwiki	History and society	0	0	0	0.0
dsbwiki	Information science	0	0	0	0.0
dsbwiki	Internet culture	0	0	0	0.0
dsbwiki	Landforms	0	0	0	0.0
dsbwiki	Language and literature	0	0	0	0.0
dsbwiki	Maintenance	0	0	0	0.0
dsbwiki	Maps	0	0	0	0.0
dsbwiki	Mathematics	0	0	0	0.0
dsbwiki	Media	0	0	0	0.0
dsbwiki	Medicine	0	0	0	0.0
dsbwiki	Meteorology	0	0	0	0.0
dsbwiki	Military and warfare	0	0	0	0.0
dsbwiki	Music	0	0	0	0.0
dsbwiki	Performing arts	0	0	0	0.0
dsbwiki	Philosophy and religion	0	0	0	0.0
dsbwiki	Physics	0	0	0	0.0
dsbwiki	Plastic arts	0	0	0	0.0
dsbwiki	Politics and government	1.0	0.0	0.0	1.0
dsbwiki	Science	0	0	0	0.0
dsbwiki	Space	0	0	0	0.0
dsbwiki	Sports	0	0	0	0.0
dsbwiki	Technology	0	0	0	0.0
dsbwiki	Time	0	0	0	0.0
dsbwiki	Transportation	0	0	0	0.0
dsbwiki	all_topics	0.625	0.125	0.25	8.0
cebwiki	Africa	0	0	0	0.0
cebwiki	Americas	0	0	0	0.0
cebwiki	Article improvement and grading	0	0	0	0.0
cebwiki	Arts	0	0	0	0.0
cebwiki	Biology	0.3	0.1	0.6	20.0
cebwiki	Bodies of water	0	0	0	0.0
cebwiki	Broadcasting	0	0	0	0.0
cebwiki	Business and economics	0	0	0	0.0
cebwiki	Chemistry	0	0	0	0.0
cebwiki	Cities	0	0	0	0.0
cebwiki	Contents systems	0	0	0	0.0
cebwiki	Countries	0	0	0	0.0
cebwiki	Crafts and hobbies	0	0	0	0.0
cebwiki	Economics	0	0	0	0.0
cebwiki	Education	0	0	0	0.0
cebwiki	Entertainment	0	0	0	0.0
cebwiki	Europe	0.5	0.0	0.5	6.0
cebwiki	Files	0	0	0	0.0
cebwiki	Food and drink	0	0	0	0.0
cebwiki	Geosciences	0.0	0.0	1.0	1.0
cebwiki	History and society	0	0	0	0.0
cebwiki	Information science	0	0	0	0.0
cebwiki	Internet culture	0	0	0	0.0
cebwiki	Landforms	0	0	0	0.0
cebwiki	Language and literature	0	0	0	0.0
cebwiki	Maintenance	0	0	0	0.0
cebwiki	Maps	0	0	0	0.0
cebwiki	Mathematics	0	0	0	0.0
cebwiki	Media	0	0	0	0.0
cebwiki	Medicine	0	0	0	0.0
cebwiki	Meteorology	0	0	0	0.0
cebwiki	Military and warfare	0	0	0	0.0
cebwiki	Music	0	0	0	0.0
cebwiki	Performing arts	0	0	0	0.0
cebwiki	Philosophy and religion	0	0	0	0.0
cebwiki	Physics	0	0	0	0.0
cebwiki	Plastic arts	0	0	0	0.0
cebwiki	Politics and government	0	0	0	0.0
cebwiki	Science	0	0	0	0.0
cebwiki	Space	0	0	0	0.0
cebwiki	Sports	0	0	0	0.0
cebwiki	Technology	0	0	0	0.0
cebwiki	Time	0	0	0	0.0
cebwiki	Transportation	0	0	0	0.0
cebwiki	all_topics	0.333333333333	0.0740740740741	0.592592592593	27.0
tenwiki	Africa	0	0	0	0.0
tenwiki	Americas	0	0	0	0.0
tenwiki	Article improvement and grading	0	0	0	0.0
tenwiki	Arts	0	0	0	0.0
tenwiki	Biology	0	0	0	0.0
tenwiki	Bodies of water	0	0	0	0.0
tenwiki	Broadcasting	0	0	0	0.0
tenwiki	Business and economics	0	0	0	0.0
tenwiki	Chemistry	0	0	0	0.0
tenwiki	Cities	0	0	0	0.0
tenwiki	Contents systems	0	0	0	0.0
tenwiki	Countries	0	0	0	0.0
tenwiki	Crafts and hobbies	0	0	0	0.0
tenwiki	Economics	0	0	0	0.0
tenwiki	Education	0	0	0	0.0
tenwiki	Entertainment	0	0	0	0.0
tenwiki	Europe	0	0	0	0.0
tenwiki	Files	0	0	0	0.0
tenwiki	Food and drink	0	0	0	0.0
tenwiki	Geosciences	0	0	0	0.0
tenwiki	History and society	0	0	0	0.0
tenwiki	Information science	0	0	0	0.0
tenwiki	Internet culture	0	0	0	0.0
tenwiki	Landforms	0	0	0	0.0
tenwiki	Language and literature	0	0	0	0.0
tenwiki	Maintenance	0	0	0	0.0
tenwiki	Maps	0	0	0	0.0
tenwiki	Mathematics	0	0	0	0.0
tenwiki	Media	0	0	0	0.0
tenwiki	Medicine	0	0	0	0.0
tenwiki	Meteorology	0	0	0	0.0
tenwiki	Military and warfare	0	0	0	0.0
tenwiki	Music	0	0	0	0.0
tenwiki	Performing arts	0	0	0	0.0
tenwiki	Philosophy and religion	0	0	0	0.0
tenwiki	Physics	0	0	0	0.0
tenwiki	Plastic arts	0	0	0	0.0
tenwiki	Politics and government	0	0	0	0.0
tenwiki	Science	0	0	0	0.0
tenwiki	Space	0	0	0	0.0
tenwiki	Sports	0	0	0	0.0
tenwiki	Technology	0	0	0	0.0
tenwiki	Time	0	0	0	0.0
tenwiki	Transportation	0	0	0	0.0
tenwiki	all_topics	0.333333333333	0.0740740740741	0.592592592593	0.0
avwiki	Africa	0	0	0	0.0
avwiki	Americas	0	0	0	0.0
avwiki	Article improvement and grading	0	0	0	0.0
avwiki	Arts	0	0	0	0.0
avwiki	Biology	0	0	0	0.0
avwiki	Bodies of water	0	0	0	0.0
avwiki	Broadcasting	0	0	0	0.0
avwiki	Business and economics	0	0	0	0.0
avwiki	Chemistry	0	0	0	0.0
avwiki	Cities	0	0	0	0.0
avwiki	Contents systems	0	0	0	0.0
avwiki	Countries	0	0	0	0.0
avwiki	Crafts and hobbies	0	0	0	0.0
avwiki	Economics	0	0	0	0.0
avwiki	Education	0	0	0	0.0
avwiki	Entertainment	0	0	0	0.0
avwiki	Europe	0	0	0	0.0
avwiki	Files	0	0	0	0.0
avwiki	Food and drink	0	0	0	0.0
avwiki	Geosciences	0	0	0	0.0
avwiki	History and society	0	0	0	0.0
avwiki	Information science	0	0	0	0.0
avwiki	Internet culture	0	0	0	0.0
avwiki	Landforms	0	0	0	0.0
avwiki	Language and literature	0	0	0	0.0
avwiki	Maintenance	0	0	0	0.0
avwiki	Maps	0	0	0	0.0
avwiki	Mathematics	0	0	0	0.0
avwiki	Media	0	0	0	0.0
avwiki	Medicine	0	0	0	0.0
avwiki	Meteorology	0	0	0	0.0
avwiki	Military and warfare	0	0	0	0.0
avwiki	Music	0	0	0	0.0
avwiki	Performing arts	0	0	0	0.0
avwiki	Philosophy and religion	0	0	0	0.0
avwiki	Physics	0	0	0	0.0
avwiki	Plastic arts	0	0	0	0.0
avwiki	Politics and government	0.0	0.0	1.0	1.0
avwiki	Science	0	0	0	0.0
avwiki	Space	0	0	0	0.0
avwiki	Sports	0	0	0	0.0
avwiki	Technology	0	0	0	0.0
avwiki	Time	0	0	0	0.0
avwiki	Transportation	0	0	0	0.0
avwiki	all_topics	0.0	0.0	1.0	1.0
fawiki	Africa	0.125	0.25	0.625	16.0
fawiki	Americas	0.214285714286	0.0833333333333	0.702380952381	84.0
fawiki	Article improvement and grading	0	0	0	0.0
fawiki	Arts	0	0	0	0.0
fawiki	Biology	0.403028350515	0.0824742268041	0.51449742268	3104.0
fawiki	Bodies of water	0.347826086957	0.0434782608696	0.608695652174	23.0
fawiki	Broadcasting	1.0	0.0	0.0	1.0
fawiki	Business and economics	0.1	0.3	0.6	20.0
fawiki	Chemistry	0.0862865947612	0.0369799691834	0.876733436055	649.0
fawiki	Cities	0.0	0.3	0.7	10.0
fawiki	Contents systems	0.285714285714	0.0	0.714285714286	7.0
fawiki	Countries	0.251366120219	0.0928961748634	0.655737704918	183.0
fawiki	Crafts and hobbies	0	0	0	0.0
fawiki	Economics	0.235294117647	0.176470588235	0.588235294118	17.0
fawiki	Education	0.2	0.2	0.6	10.0
fawiki	Entertainment	0.274193548387	0.0967741935484	0.629032258065	62.0
fawiki	Europe	0.302721088435	0.0833333333333	0.613945578231	588.0
fawiki	Files	0.30303030303	0.0909090909091	0.606060606061	33.0
fawiki	Food and drink	0.363636363636	0.0454545454545	0.590909090909	44.0
fawiki	Geosciences	0.24	0.16	0.6	50.0
fawiki	History and society	0.260364842454	0.129353233831	0.610281923715	603.0
fawiki	Information science	0.0	0.0	1.0	3.0
fawiki	Internet culture	0.0	0.2	0.8	5.0
fawiki	Landforms	0	0	0	0.0
fawiki	Language and literature	0.301255230126	0.0794979079498	0.619246861925	239.0
fawiki	Maintenance	0.127659574468	0.127659574468	0.744680851064	47.0
fawiki	Maps	0.0	0.0	1.0	3.0
fawiki	Mathematics	0.0	0.0	1.0	1.0
fawiki	Media	0.0	0.5	0.5	2.0
fawiki	Medicine	0.358395989975	0.100250626566	0.541353383459	1596.0
fawiki	Meteorology	0.5	0.125	0.375	8.0
fawiki	Military and warfare	0.136363636364	0.0454545454545	0.818181818182	22.0
fawiki	Music	0.25	0.0	0.75	4.0
fawiki	Performing arts	0.0	0.444444444444	0.555555555556	9.0
fawiki	Philosophy and religion	0.203045685279	0.0710659898477	0.725888324873	197.0
fawiki	Physics	0.26179245283	0.158018867925	0.580188679245	424.0
fawiki	Plastic arts	0.285714285714	0.0714285714286	0.642857142857	28.0
fawiki	Politics and government	0.161764705882	0.132352941176	0.705882352941	204.0
fawiki	Science	0.118421052632	0.184210526316	0.697368421053	76.0
fawiki	Space	0.587443946188	0.103139013453	0.309417040359	446.0
fawiki	Sports	0.0	0.25	0.75	8.0
fawiki	Technology	0.131687242798	0.288065843621	0.58024691358	243.0
fawiki	Time	0.0	0.0	1.0	2.0
fawiki	Transportation	0.416666666667	0.0833333333333	0.5	48.0
fawiki	all_topics	0.324048689549	0.0995723215265	0.576378988924	9119.0
ugwiki	Africa	0	0	0	0.0
ugwiki	Americas	0	0	0	0.0
ugwiki	Article improvement and grading	0	0	0	0.0
ugwiki	Arts	0	0	0	0.0
ugwiki	Biology	0	0	0	0.0
ugwiki	Bodies of water	0	0	0	0.0
ugwiki	Broadcasting	0	0	0	0.0
ugwiki	Business and economics	0	0	0	0.0
ugwiki	Chemistry	0	0	0	0.0
ugwiki	Cities	0	0	0	0.0
ugwiki	Contents systems	0	0	0	0.0
ugwiki	Countries	0	0	0	0.0
ugwiki	Crafts and hobbies	0	0	0	0.0
ugwiki	Economics	0	0	0	0.0
ugwiki	Education	0	0	0	0.0
ugwiki	Entertainment	0	0	0	0.0
ugwiki	Europe	0	0	0	0.0
ugwiki	Files	0	0	0	0.0
ugwiki	Food and drink	0	0	0	0.0
ugwiki	Geosciences	0	0	0	0.0
ugwiki	History and society	0	0	0	0.0
ugwiki	Information science	0	0	0	0.0
ugwiki	Internet culture	0	0	0	0.0
ugwiki	Landforms	0	0	0	0.0
ugwiki	Language and literature	0	0	0	0.0
ugwiki	Maintenance	0	0	0	0.0
ugwiki	Maps	0	0	0	0.0
ugwiki	Mathematics	0	0	0	0.0
ugwiki	Media	0	0	0	0.0
ugwiki	Medicine	1.0	0.0	0.0	1.0
ugwiki	Meteorology	0	0	0	0.0
ugwiki	Military and warfare	0	0	0	0.0
ugwiki	Music	0	0	0	0.0
ugwiki	Performing arts	0	0	0	0.0
ugwiki	Philosophy and religion	0	0	0	0.0
ugwiki	Physics	0	0	0	0.0
ugwiki	Plastic arts	0	0	0	0.0
ugwiki	Politics and government	0	0	0	0.0
ugwiki	Science	0	0	0	0.0
ugwiki	Space	0	0	0	0.0
ugwiki	Sports	0	0	0	0.0
ugwiki	Technology	0	0	0	0.0
ugwiki	Time	0	0	0	0.0
ugwiki	Transportation	0	0	0	0.0
ugwiki	all_topics	1.0	0.0	0.0	1.0
kvwiki	Africa	0	0	0	0.0
kvwiki	Americas	0	0	0	0.0
kvwiki	Article improvement and grading	0	0	0	0.0
kvwiki	Arts	0	0	0	0.0
kvwiki	Biology	0	0	0	0.0
kvwiki	Bodies of water	0	0	0	0.0
kvwiki	Broadcasting	0	0	0	0.0
kvwiki	Business and economics	0	0	0	0.0
kvwiki	Chemistry	0	0	0	0.0
kvwiki	Cities	0	0	0	0.0
kvwiki	Contents systems	0	0	0	0.0
kvwiki	Countries	0	0	0	0.0
kvwiki	Crafts and hobbies	0	0	0	0.0
kvwiki	Economics	0	0	0	0.0
kvwiki	Education	0	0	0	0.0
kvwiki	Entertainment	0	0	0	0.0
kvwiki	Europe	0	0	0	0.0
kvwiki	Files	0	0	0	0.0
kvwiki	Food and drink	0	0	0	0.0
kvwiki	Geosciences	0	0	0	0.0
kvwiki	History and society	0	0	0	0.0
kvwiki	Information science	0	0	0	0.0
kvwiki	Internet culture	0	0	0	0.0
kvwiki	Landforms	0	0	0	0.0
kvwiki	Language and literature	0	0	0	0.0
kvwiki	Maintenance	0	0	0	0.0
kvwiki	Maps	0	0	0	0.0
kvwiki	Mathematics	0	0	0	0.0
kvwiki	Media	0	0	0	0.0
kvwiki	Medicine	0	0	0	0.0
kvwiki	Meteorology	0	0	0	0.0
kvwiki	Military and warfare	0	0	0	0.0
kvwiki	Music	0	0	0	0.0
kvwiki	Performing arts	0	0	0	0.0
kvwiki	Philosophy and religion	0	0	0	0.0
kvwiki	Physics	0	0	0	0.0
kvwiki	Plastic arts	0	0	0	0.0
kvwiki	Politics and government	0	0	0	0.0
kvwiki	Science	0	0	0	0.0
kvwiki	Space	0	0	0	0.0
kvwiki	Sports	0	0	0	0.0
kvwiki	Technology	0	0	0	0.0
kvwiki	Time	0	0	0	0.0
kvwiki	Transportation	0	0	0	0.0
kvwiki	all_topics	1.0	0.0	0.0	0.0
kbdwiki	Africa	0	0	0	0.0
kbdwiki	Americas	0	0	0	0.0
kbdwiki	Article improvement and grading	0	0	0	0.0
kbdwiki	Arts	0	0	0	0.0
kbdwiki	Biology	0	0	0	0.0
kbdwiki	Bodies of water	0	0	0	0.0
kbdwiki	Broadcasting	0	0	0	0.0
kbdwiki	Business and economics	0	0	0	0.0
kbdwiki	Chemistry	0	0	0	0.0
kbdwiki	Cities	0	0	0	0.0
kbdwiki	Contents systems	0	0	0	0.0
kbdwiki	Countries	0	0	0	0.0
kbdwiki	Crafts and hobbies	0	0	0	0.0
kbdwiki	Economics	0	0	0	0.0
kbdwiki	Education	0	0	0	0.0
kbdwiki	Entertainment	0	0	0	0.0
kbdwiki	Europe	0	0	0	0.0
kbdwiki	Files	0	0	0	0.0
kbdwiki	Food and drink	0	0	0	0.0
kbdwiki	Geosciences	0	0	0	0.0
kbdwiki	History and society	0	0	0	0.0
kbdwiki	Information science	0	0	0	0.0
kbdwiki	Internet culture	0	0	0	0.0
kbdwiki	Landforms	0	0	0	0.0
kbdwiki	Language and literature	0	0	0	0.0
kbdwiki	Maintenance	0	0	0	0.0
kbdwiki	Maps	0	0	0	0.0
kbdwiki	Mathematics	0	0	0	0.0
kbdwiki	Media	0	0	0	0.0
kbdwiki	Medicine	0	0	0	0.0
kbdwiki	Meteorology	0	0	0	0.0
kbdwiki	Military and warfare	0	0	0	0.0
kbdwiki	Music	0	0	0	0.0
kbdwiki	Performing arts	0	0	0	0.0
kbdwiki	Philosophy and religion	0	0	0	0.0
kbdwiki	Physics	0	0	0	0.0
kbdwiki	Plastic arts	0	0	0	0.0
kbdwiki	Politics and government	0	0	0	0.0
kbdwiki	Science	0	0	0	0.0
kbdwiki	Space	0	0	0	0.0
kbdwiki	Sports	0	0	0	0.0
kbdwiki	Technology	0	0	0	0.0
kbdwiki	Time	0	0	0	0.0
kbdwiki	Transportation	0	0	0	0.0
kbdwiki	all_topics	1.0	0.0	0.0	0.0
tyvwiki	Africa	0	0	0	0.0
tyvwiki	Americas	0	0	0	0.0
tyvwiki	Article improvement and grading	0	0	0	0.0
tyvwiki	Arts	0	0	0	0.0
tyvwiki	Biology	0	0	0	0.0
tyvwiki	Bodies of water	0	0	0	0.0
tyvwiki	Broadcasting	0	0	0	0.0
tyvwiki	Business and economics	0	0	0	0.0
tyvwiki	Chemistry	0	0	0	0.0
tyvwiki	Cities	0	0	0	0.0
tyvwiki	Contents systems	0	0	0	0.0
tyvwiki	Countries	0	0	0	0.0
tyvwiki	Crafts and hobbies	0	0	0	0.0
tyvwiki	Economics	0	0	0	0.0
tyvwiki	Education	0	0	0	0.0
tyvwiki	Entertainment	0	0	0	0.0
tyvwiki	Europe	0	0	0	0.0
tyvwiki	Files	0	0	0	0.0
tyvwiki	Food and drink	0	0	0	0.0
tyvwiki	Geosciences	0	0	0	0.0
tyvwiki	History and society	0	0	0	0.0
tyvwiki	Information science	0	0	0	0.0
tyvwiki	Internet culture	0	0	0	0.0
tyvwiki	Landforms	0	0	0	0.0
tyvwiki	Language and literature	0	0	0	0.0
tyvwiki	Maintenance	0	0	0	0.0
tyvwiki	Maps	0	0	0	0.0
tyvwiki	Mathematics	0	0	0	0.0
tyvwiki	Media	0	0	0	0.0
tyvwiki	Medicine	0	0	0	0.0
tyvwiki	Meteorology	0	0	0	0.0
tyvwiki	Military and warfare	0	0	0	0.0
tyvwiki	Music	0	0	0	0.0
tyvwiki	Performing arts	0	0	0	0.0
tyvwiki	Philosophy and religion	0	0	0	0.0
tyvwiki	Physics	0	0	0	0.0
tyvwiki	Plastic arts	0	0	0	0.0
tyvwiki	Politics and government	0	0	0	0.0
tyvwiki	Science	0	0	0	0.0
tyvwiki	Space	0	0	0	0.0
tyvwiki	Sports	0	0	0	0.0
tyvwiki	Technology	0	0	0	0.0
tyvwiki	Time	0	0	0	0.0
tyvwiki	Transportation	0	0	0	0.0
tyvwiki	all_topics	1.0	0.0	0.0	0.0
viwiki	Africa	0.181818181818	0.0	0.818181818182	11.0
viwiki	Americas	0.226890756303	0.0756302521008	0.697478991597	238.0
viwiki	Article improvement and grading	0	0	0	0.0
viwiki	Arts	0	0	0	0.0
viwiki	Biology	0.323130677848	0.0819007686932	0.594968553459	7155.0
viwiki	Bodies of water	0.266666666667	0.0222222222222	0.711111111111	45.0
viwiki	Broadcasting	0.352941176471	0.0	0.647058823529	17.0
viwiki	Business and economics	0.0576923076923	0.0961538461538	0.846153846154	52.0
viwiki	Chemistry	0.100638977636	0.0487220447284	0.850638977636	1252.0
viwiki	Cities	0.277777777778	0.111111111111	0.611111111111	18.0
viwiki	Contents systems	0.125	0.0	0.875	8.0
viwiki	Countries	0.219315895372	0.0603621730382	0.72032193159	497.0
viwiki	Crafts and hobbies	0	0	0	0.0
viwiki	Economics	0.03125	0.34375	0.625	32.0
viwiki	Education	0.176470588235	0.176470588235	0.647058823529	34.0
viwiki	Entertainment	0.2	0.1	0.7	40.0
viwiki	Europe	0.167355371901	0.0619834710744	0.770661157025	968.0
viwiki	Files	0.178571428571	0.107142857143	0.714285714286	28.0
viwiki	Food and drink	0.248484848485	0.0666666666667	0.684848484848	165.0
viwiki	Geosciences	0.156097560976	0.0634146341463	0.780487804878	205.0
viwiki	History and society	0.227217496962	0.086269744836	0.686512758202	823.0
viwiki	Information science	0.0	0.0	1.0	3.0
viwiki	Internet culture	0.0	0.0	1.0	1.0
viwiki	Landforms	0.214285714286	0.142857142857	0.642857142857	14.0
viwiki	Language and literature	0.19109947644	0.0706806282723	0.738219895288	382.0
viwiki	Maintenance	0.206896551724	0.103448275862	0.689655172414	58.0
viwiki	Maps	0.0	0.0	1.0	10.0
viwiki	Mathematics	0.0	0.5	0.5	4.0
viwiki	Media	0.0	0.0	1.0	5.0
viwiki	Medicine	0.339587242026	0.0844277673546	0.575984990619	1066.0
viwiki	Meteorology	0.254237288136	0.0677966101695	0.677966101695	59.0
viwiki	Military and warfare	0.0526315789474	0.0263157894737	0.921052631579	38.0
viwiki	Music	0.0833333333333	0.0833333333333	0.833333333333	12.0
viwiki	Performing arts	0.0882352941176	0.0	0.911764705882	34.0
viwiki	Philosophy and religion	0.134185303514	0.0926517571885	0.773162939297	313.0
viwiki	Physics	0.327567567568	0.141621621622	0.530810810811	925.0
viwiki	Plastic arts	0.318181818182	0.0681818181818	0.613636363636	44.0
viwiki	Politics and government	0.111913357401	0.0613718411552	0.826714801444	277.0
viwiki	Science	0.123287671233	0.123287671233	0.753424657534	73.0
viwiki	Space	0.528614457831	0.0963855421687	0.375	1328.0
viwiki	Sports	0.25	0.125	0.625	8.0
viwiki	Technology	0.131506849315	0.197260273973	0.671232876712	365.0
